,ccode,year,CountryCode,Cashsurplus/deficitofGDP,CPIApropertyrightsandrulebasedgovernancerating1lowto6high,ForeigndirectinvestmentnetinflowsofGDP,GDPconstant2000US,GDPpercapitaconstant2000US,Generalgovernmentfinalconsumptionexpenditureannualgrowth,GeneralgovernmentfinalconsumptionexpenditureofGDP,TotalnaturalresourcesrentsofGDP,TradeofGDP,democ,autoc,polity,polity2,durable,intervener,start,end,startYear,endYear,source,direction,type,amount,air,naval,size_naval,firing_outside,intervener_casualties,target.casualties,domestic_dispute,affect_policies,social_protective,pursuit_border,economic,strategic,humanitarian,territorial,military.diplomatic,contiguity,int_contig,description
1,2,1960,USA,NA,NA,NA,2.48E+12,13723.23778,NA,16.35436164,NA,9.571922585,10,0,10,10,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1961,USA,NA,NA,NA,2.54E+12,13808.06402,NA,17.18191099,NA,9.317470885,10,0,10,10,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,1962,USA,NA,NA,NA,2.69E+12,14426.75771,NA,17.28679886,NA,9.30502056,10,0,10,10,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,1963,USA,NA,NA,NA,2.81E+12,14846.32706,NA,17.0243563,NA,9.34472579,10,0,10,10,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,1964,USA,NA,NA,NA,2.97E+12,15490.73916,NA,16.66508957,NA,9.598093523,10,0,10,10,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,1965,USA,NA,NA,NA,3.16E+12,16277.37401,NA,16.20347928,NA,9.629877613,10,0,10,10,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,1966,USA,NA,NA,NA,3.37E+12,17136.34957,NA,17.2066952,NA,9.991681678,10,0,10,10,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,1967,USA,NA,NA,NA,3.45E+12,17374.53648,NA,18.50780636,NA,10.10070768,10,0,10,10,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,1968,USA,NA,NA,NA,3.62E+12,18027.61393,NA,18.39368187,NA,10.48095786,10,0,10,10,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,1969,USA,NA,NA,NA,3.73E+12,18405.71964,NA,18.06030077,NA,10.52222633,10,0,10,10,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,1970,USA,NA,NA,0.12295082,3.74E+12,18228.92179,NA,18.33528493,1.322810637,11.2704918,10,0,10,10,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,1971,USA,NA,NA,0.078160093,3.87E+12,18622.33742,-2.161504632,17.84206271,1.363497639,11.25685024,10,0,10,10,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2,1972,USA,NA,NA,0.110204082,4.08E+12,19441.37991,-1.214613619,17.47755102,1.345402199,11.83673469,10,0,10,10,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,1973,USA,NA,NA,0.154823633,4.32E+12,20394.98709,-0.174266628,16.76038852,1.878400629,13.62009786,10,0,10,10,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,1974,USA,NA,NA,0.224106602,4.30E+12,20104.54175,2.89011735,17.34302443,4.395982754,17.10747695,10,0,10,10,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,1975,USA,NA,NA,0.157693729,4.29E+12,19868.26519,2.516731077,17.89454232,3.791575945,16.10200813,10,0,10,10,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,1976,USA,NA,NA,0.179647338,4.52E+12,20746.79894,0.689591762,17.32905865,3.631208933,16.6159969,10,0,10,10,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,1977,USA,NA,NA,0.14402066,4.73E+12,21491.82018,1.990685782,17.04410012,3.511092477,16.96960667,10,0,10,10,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,1978,USA,NA,NA,0.257029877,5.00E+12,22461.78537,1.97869102,16.37082601,3.478622359,17.53514938,10,0,10,10,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,1979,USA,NA,NA,0.342048359,5.16E+12,22914.55504,1.720807726,16.15097307,5.809820367,18.9817181,10,0,10,10,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,1980,USA,NA,NA,0.611743451,5.14E+12,22630.52015,1.812532367,16.75880759,6.062368438,20.76242096,10,0,10,10,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,1981,USA,NA,NA,0.811585798,5.27E+12,22978.98471,1.407256697,16.64089181,5.371713802,20.0721696,10,0,10,10,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,1982,USA,NA,NA,0.386467144,5.17E+12,22310.23937,3.201805718,17.61316107,4.47906355,18.16773554,10,0,10,10,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,1983,USA,NA,NA,0.298554279,5.40E+12,23105.52073,3.483191576,17.50263766,3.325600849,17.26881291,10,0,10,10,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,1984,USA,NA,NA,0.634806686,5.79E+12,24554.40288,2.786692759,17.14695929,2.990982709,18.13916521,10,0,10,10,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,1985,USA,NA,NA,0.478159052,6.03E+12,25338.55564,5.886832686,17.51577136,2.423328516,17.1860065,10,0,10,10,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,1986,USA,NA,NA,0.800429379,6.24E+12,25965.88342,5.602704258,17.83954802,1.205496528,17.47344633,10,0,10,10,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,1987,USA,NA,NA,1.244355062,6.43E+12,26549.87602,2.696996527,17.77011641,1.223182547,18.56817553,10,0,10,10,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,1988,USA,NA,NA,1.14059938,6.70E+12,27388.61802,1.631407918,17.2524151,0.993136078,19.71394141,10,0,10,10,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2,1989,USA,NA,NA,1.254664779,6.94E+12,28098.40072,1.533442088,16.85019394,1.003461619,20.11324154,10,0,10,10,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2,1990,USA,NA,NA,0.843187035,7.06E+12,28298.44695,2.493573265,17.04980177,1.356607746,20.55018432,10,0,10,10,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2,1991,USA,NA,NA,0.390847623,7.05E+12,27849.88084,0.627037873,17.26440386,1.091804262,20.57261369,10,0,10,10,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,1992,USA,NA,NA,0.316362707,7.29E+12,28401.46518,0.037387836,16.84819062,0.967441253,20.80551918,10,0,10,10,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2,1993,USA,NA,NA,0.780507071,7.49E+12,28834.55935,-0.89074374,16.2846162,1.060772587,20.89656534,10,0,10,10,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,1994,USA,NA,NA,0.659631361,7.80E+12,29655.06941,-0.01885488,15.74793016,0.930561103,21.93671085,10,0,10,10,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2,1995,USA,NA,NA,0.787637632,8.00E+12,30050.98673,-0.050289163,15.40526545,0.921264696,23.36340347,10,0,10,10,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2,1996,USA,NA,NA,1.116228664,8.30E+12,30827.9882,0.471698113,15.04560643,1.08513511,23.63148456,10,0,10,10,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,1997,USA,NA,NA,1.278871192,8.68E+12,31831.46159,1.264475743,14.59819536,0.911552566,24.34687822,10,0,10,10,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
